id_folha,pai_id,nivel,codigo_folha,descricao_folha,caminho_codigo,profundidade,empresa_id,departamento_id,categoria_id,sub_categoria_id,segmento_id,sub_segmento_id,codigo_departamento_id,codigo_categoria_id,codigo_sub_categoria_id,codigo_segmento_id,codigo_sub_segmento_id,descricao_departamento_id,descricao_categoria_id,descricao_sub_categoria_id,descricao_segmento_id,descricao_sub_segmento_id
54895,54881,2,1,AVES QUEBRA 10%,10 > 1,2,633,54881,54895,,,,10,1,,,,ACOUGUE QUEBRA,AVES QUEBRA 10%,,,
52229,52197,4,1,1L,10 > 1 > 1 > 1,4,633,52186,52187,52197,52229,,10,1,1,1,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,1L,
52250,52197,4,2,"1,5L",10 > 1 > 1 > 2,4,633,52186,52187,52197,52250,,10,1,1,2,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,"1,5L",
52263,52197,4,3,20L,10 > 1 > 1 > 3,4,633,52186,52187,52197,52263,,10,1,1,3,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,20L,
52272,52197,4,4,200ML,10 > 1 > 1 > 4,4,633,52186,52187,52197,52272,,10,1,1,4,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,200ML,
52280,52197,4,5,250ML,10 > 1 > 1 > 5,4,633,52186,52187,52197,52280,,10,1,1,5,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,250ML,
52287,52197,4,6,300ML,10 > 1 > 1 > 6,4,633,52186,52187,52197,52287,,10,1,1,6,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,300ML,
52293,52197,4,7,350ML,10 > 1 > 1 > 7,4,633,52186,52187,52197,52293,,10,1,1,7,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,350ML,
52296,52197,4,8,5L,10 > 1 > 1 > 8,4,633,52186,52187,52197,52296,,10,1,1,8,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,5L,
52299,52197,4,9,500ML,10 > 1 > 1 > 9,4,633,52186,52187,52197,52299,,10,1,1,9,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL SEM GAS,500ML,
52230,52205,4,1,"1,5L",10 > 1 > 2 > 1,4,633,52186,52187,52205,52230,,10,1,2,1,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL COM GAS,"1,5L",
52251,52205,4,2,6.36,10 > 1 > 2 > 2,4,633,52186,52187,52205,52251,,10,1,2,2,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL COM GAS,6.36,
52264,52205,4,3,500ML,10 > 1 > 2 > 3,4,633,52186,52187,52205,52264,,10,1,2,3,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,AGUA MINERAL COM GAS,500ML,
52231,52210,4,1,20L,10 > 1 > 3 > 1,4,633,52186,52187,52210,52231,,10,1,3,1,,BEBIDA NAO ALCOOLICA,AGUA MINERAL,CASCO GARRAFAO AGUA,20L,
55663,55074,3,778,COMUM,10 > 1 > 778,3,633,54944,55074,55663,,,10,1,778,,,ENLATADOS DOCES,COMPOTAS DOCES,COMUM,,
55670,55074,3,840,FIGO,10 > 1 > 840,3,633,54944,55074,55670,,,10,1,840,,,ENLATADOS DOCES,COMPOTAS DOCES,FIGO,,
54903,54881,2,2,CARNES QUEBRA 15%,10 > 2,2,633,54881,54903,,,,10,2,,,,ACOUGUE QUEBRA,CARNES QUEBRA 15%,,,
52325,52232,5,1,1L,10 > 2 > 1 > 1 > 1,5,633,52186,52188,52198,52232,52325,10,2,1,1,1,BEBIDA NAO ALCOOLICA,AGUA DE COCO,TP,1L,1L
52326,52252,5,1,330ML,10 > 2 > 1 > 2 > 1,5,633,52186,52188,52198,52252,52326,10,2,1,2,1,BEBIDA NAO ALCOOLICA,AGUA DE COCO,TP,330ML,330ML
52327,52265,5,1,200ML,10 > 2 > 1 > 3 > 1,5,633,52186,52188,52198,52265,52327,10,2,1,3,1,BEBIDA NAO ALCOOLICA,AGUA DE COCO,TP,200ML,200ML
