id,empresa_id,codigo_produto,descricao,departamento_id,categoria_id,sub_categoria_id,segmento_id,sub_segmento_id
1726402,633,164337,BATATA ELMA CHIPS STAX ORIG 163G,52386,52989,53012,53114,53178
1726406,633,164535,MARCADOR PROJETOR PILOT VERM,47386,47586,47998,48094,
1726407,633,164542,ALCOOL GEL GELALCOOL START 500G,45786,45987,46222,46236,46362
1726423,633,165167,BEBIDA LAC LUCE GARRAFA 450G MOR,50586,50988,51005,,
1726424,633,165280,CAD CD 1M S DOM S FRIENDS 96F,47386,47586,48002,48066,48174
1726425,633,165303,SUPORTE BOTIJAO NIQUELPLAST,47386,47986,48821,48879,
1726426,633,165402,GUARDANAPO BOB 20X23CM,47386,48786,48997,49038,
1726427,633,165495,XICARA CHA DURALEX ASTRALL,47386,47986,48798,,
1726404,633,164450,CAD CD 10M S DOM CSI 200F,47386,47586,48002,48066,48136
1731898,633,336567,CESTA NATAL KALU,,,,,
1723054,633,53303,ISQUEIRO BIC P,47386,47986,48813,48850,
1723055,633,53310,ISQUEIRO BIC G,47386,47986,48813,48877,
1723081,633,54171,PADARIA CREME HOLANDES KG,54788,54793,54799,54814,54853
1723248,633,59169,CAIXA ISOPOR ICEBOX 130L,47386,48987,48989,49076,
1723375,633,63067,PIRULITO RIBEIRO 10UN,52386,52786,52788,52834,
1723426,633,64699,COLA SUPER BONDER 3G,47386,47586,48008,48070,48170
1723677,633,71444,PADARIA BATATA PALHA KG,54788,54793,54799,54814,54853
1723803,633,75220,PADARIA CANUDO BIJU KG,54788,54793,54799,54814,54853
1724003,633,81665,SORVETE NESTLE GALAK 2L,46386,46586,46788,46871,
1724004,633,81672,SORVETE NESTLE CREME 2L,46386,46586,46788,46871,
1724030,633,82501,DUCHA SINTEX 127V,47386,47387,47401,47453,
1724031,633,82525,AVENTAL LILI G,47386,49388,49433,,
1724183,633,87315,VELA L BELEM ESP 5,47386,47388,47390,47495,
1724184,633,87339,VELA L BELEM ESP 9,47386,47388,47390,47510,
1724210,633,88121,PAO SOVADO BALDINI 500G,49786,49987,50212,50252,
1725521,633,130745,BB BEL SORTIDO 180G,52386,52786,52798,52841,52898
